diet,sex,emmean,SE,df,lower.CL,upper.CL,letter,organ,model
T2,F,7.500000000000002,4.433536962742047,8,-6.6572800680783875,21.657280068078393,a,kidneys,ART (nonparametric factorial ANOVA)
T3,F,8.5,4.433536962742047,8,-5.657280068078389,22.65728006807839,a,kidneys,ART (nonparametric factorial ANOVA)
T1,F,9.000000000000004,4.433536962742048,8,-5.157280068078389,23.157280068078396,a,kidneys,ART (nonparametric factorial ANOVA)
T4,F,10.500000000000002,4.433536962742047,8,-3.6572800680783875,24.657280068078393,a,kidneys,ART (nonparametric factorial ANOVA)
T4,M,6.499999999999998,4.433536962742047,8,-7.657280068078391,20.657280068078386,a,kidneys,ART (nonparametric factorial ANOVA)
T1,M,7.499999999999999,4.433536962742048,8,-6.657280068078394,21.657280068078393,a,kidneys,ART (nonparametric factorial ANOVA)
T3,M,8.499999999999998,4.433536962742047,8,-5.657280068078391,22.657280068078386,a,kidneys,ART (nonparametric factorial ANOVA)
T2,M,9.999999999999998,4.433536962742046,8,-4.157280068078389,24.157280068078386,a,kidneys,ART (nonparametric factorial ANOVA)
T3,F,4.499999999999998,3.9370039370059056,8,-8.07173850894153,17.07173850894153,a,Liver,ART (nonparametric factorial ANOVA)
T2,F,8.5,3.9370039370059056,8,-4.071738508941529,21.07173850894153,a,Liver,ART (nonparametric factorial ANOVA)
T1,F,8.500000000000002,3.937003937005907,8,-4.0717385089415306,21.071738508941536,a,Liver,ART (nonparametric factorial ANOVA)
T4,F,10.000000000000002,3.937003937005906,8,-2.5717385089415288,22.571738508941532,a,Liver,ART (nonparametric factorial ANOVA)
T1,M,6,3.9370039370059065,8,-6.5717385089415306,18.57173850894153,a,Liver,ART (nonparametric factorial ANOVA)
T4,M,7.999999999999998,3.937003937005906,8,-4.571738508941532,20.57173850894153,a,Liver,ART (nonparametric factorial ANOVA)
T2,M,9.499999999999998,3.9370039370059056,8,-3.0717385089415306,22.07173850894153,a,Liver,ART (nonparametric factorial ANOVA)
T3,M,13.000000000000004,3.9370039370059056,8,0.4282614910584748,25.571738508941532,a,Liver,ART (nonparametric factorial ANOVA)
T2,F,5.999999999999999,4.394598957811737,8,-8.032942266065419,20.032942266065415,a,Lungs,ART (nonparametric factorial ANOVA)
T4,F,9,4.394598957811737,8,-5.032942266065417,23.03294226606542,a,Lungs,ART (nonparametric factorial ANOVA)
T3,F,10.000000000000002,4.394598957811737,8,-4.032942266065415,24.03294226606542,a,Lungs,ART (nonparametric factorial ANOVA)
T1,F,10.500000000000002,4.394598957811738,8,-3.532942266065417,24.53294226606542,a,Lungs,ART (nonparametric factorial ANOVA)
T1,M,6.999999999999998,4.394598957811737,8,-7.032942266065419,21.032942266065415,a,Lungs,ART (nonparametric factorial ANOVA)
T4,M,8.000000000000002,4.394598957811737,8,-6.032942266065415,22.03294226606542,a,Lungs,ART (nonparametric factorial ANOVA)
T3,M,8.499999999999998,4.394598957811737,8,-5.532942266065419,22.532942266065415,a,Lungs,ART (nonparametric factorial ANOVA)
T2,M,9.000000000000002,4.394598957811737,8,-5.032942266065415,23.03294226606542,a,Lungs,ART (nonparametric factorial ANOVA)
T1,F,5.999999999999998,3.0720514318611265,8,-3.8097507407495286,15.809750740749525,a,Spleen,ART (nonparametric factorial ANOVA)
T3,F,6,3.0720514318611256,8,-3.8097507407495232,15.809750740749523,a,Spleen,ART (nonparametric factorial ANOVA)
T4,F,6.500000000000001,3.072051431861126,8,-3.309750740749524,16.309750740749525,a,Spleen,ART (nonparametric factorial ANOVA)
T2,F,15,3.0720514318611256,8,5.190249259250477,24.80975074074952,a,Spleen,ART (nonparametric factorial ANOVA)
T2,M,3.4999999999999996,3.0720514318611256,8,-6.309750740749523,13.309750740749523,a,Spleen,ART (nonparametric factorial ANOVA)
T1,M,9.999999999999998,3.0720514318611265,8,0.19024925925047143,19.809750740749525,a,Spleen,ART (nonparametric factorial ANOVA)
T4,M,10,3.072051431861126,8,0.19024925925047498,19.809750740749525,a,Spleen,ART (nonparametric factorial ANOVA)
T3,M,11.000000000000002,3.0720514318611256,8,1.1902492592504785,20.809750740749525,a,Spleen,ART (nonparametric factorial ANOVA)
